Date,Close/Last,Volume,Open,High,Low
05/14/2025,$1.78,2750392,$1.82,$1.8977,$1.75
05/13/2025,$1.795,4260693,$2.06,$2.08,$1.79
05/12/2025,$2.00,8698253,$1.94,$2.19,$1.90
05/09/2025,$1.82,4857654,$1.68,$1.96,$1.68
05/08/2025,$1.81,2447126,$1.74,$1.86,$1.67
05/07/2025,$1.70,1579845,$1.72,$1.76,$1.69
05/06/2025,$1.71,2835522,$1.87,$1.88,$1.68
05/05/2025,$1.87,1409227,$1.88,$1.96,$1.86
05/02/2025,$1.89,2907309,$1.90,$2.035,$1.87
05/01/2025,$1.90,1671131,$1.90,$1.92,$1.81
04/30/2025,$1.90,2886847,$1.68,$1.94,$1.63
04/29/2025,$1.71,1622276,$1.76,$1.78,$1.70
04/28/2025,$1.76,1694864,$1.75,$1.82,$1.68
04/25/2025,$1.77,2299739,$1.75,$1.82,$1.645
04/24/2025,$1.77,1581030,$1.74,$1.80,$1.68
04/23/2025,$1.71,2640173,$1.795,$1.91,$1.70
04/22/2025,$1.73,1905547,$1.63,$1.75,$1.61
04/21/2025,$1.59,1437645,$1.60,$1.72,$1.59
04/17/2025,$1.65,1350567,$1.61,$1.66,$1.58
04/16/2025,$1.58,1820600,$1.64,$1.67,$1.53
04/15/2025,$1.70,2167083,$1.81,$1.92,$1.655
04/14/2025,$1.81,2949068,$1.80,$1.83,$1.69
04/11/2025,$1.76,5517179,$1.53,$1.79,$1.49
04/10/2025,$1.53,4251020,$1.47,$1.55,$1.415
04/09/2025,$1.55,4640898,$1.34,$1.585,$1.32
04/08/2025,$1.34,9389943,$1.575,$1.67,$1.325
04/07/2025,$1.53,7785456,$1.42,$1.635,$1.34
04/04/2025,$1.48,5310999,$1.35,$1.49,$1.26
04/03/2025,$1.37,6776645,$1.50,$1.5174,$1.33
04/02/2025,$1.63,3351691,$1.48,$1.77,$1.48
04/01/2025,$1.50,3727457,$1.65,$1.67,$1.49
03/31/2025,$1.68,6902297,$1.65,$1.7571,$1.54
03/28/2025,$1.71,2761525,$1.82,$1.84,$1.675
03/27/2025,$1.845,3659994,$1.80,$1.9103,$1.76
03/26/2025,$1.81,4603737,$2.175,$2.175,$1.81
03/25/2025,$2.15,3499469,$2.39,$2.398,$2.14
03/24/2025,$2.42,2321591,$2.33,$2.43,$2.31
03/21/2025,$2.31,4938352,$2.20,$2.34,$2.1801
03/20/2025,$2.26,3195272,$2.29,$2.41,$2.20
03/19/2025,$2.34,4886868,$2.28,$2.42,$2.18
03/18/2025,$2.28,10685040,$2.84,$2.85,$2.135
03/17/2025,$2.77,4015071,$3.00,$3.005,$2.71
03/14/2025,$2.93,2993114,$2.83,$2.94,$2.62
03/13/2025,$2.655,2444775,$2.92,$2.995,$2.61
03/12/2025,$2.92,1975974,$2.75,$2.94,$2.74
03/11/2025,$2.75,2248016,$2.53,$2.79,$2.49
03/10/2025,$2.52,2056435,$2.51,$2.6607,$2.50
03/07/2025,$2.58,2238194,$2.58,$2.67,$2.5218
03/06/2025,$2.55,2991513,$2.49,$2.58,$2.455
03/05/2025,$2.55,2530088,$2.61,$2.66,$2.51
03/04/2025,$2.56,4005052,$2.34,$2.63,$2.32
03/03/2025,$2.43,3053574,$2.62,$2.6451,$2.4201
02/28/2025,$2.61,2722151,$2.55,$2.67,$2.51
02/27/2025,$2.59,2496804,$2.61,$2.805,$2.57
02/26/2025,$2.605,2176275,$2.62,$2.70,$2.52
02/25/2025,$2.59,3466424,$2.85,$2.91,$2.58
02/24/2025,$2.88,2586387,$3.01,$3.07,$2.85
02/21/2025,$3.01,2230528,$3.10,$3.145,$2.98
02/20/2025,$3.06,1290557,$3.07,$3.16,$3.05
02/19/2025,$3.09,2413978,$3.00,$3.17,$3.00
02/18/2025,$3.02,3004675,$3.24,$3.3501,$3.01
02/14/2025,$3.16,5276273,$2.84,$3.23,$2.83
02/13/2025,$2.81,1523575,$2.79,$2.86,$2.75
02/12/2025,$2.84,2043788,$2.69,$2.87,$2.6202
02/11/2025,$2.755,2270396,$2.71,$2.77,$2.57
02/10/2025,$2.735,3528474,$3.00,$3.02,$2.6908
02/07/2025,$2.99,3708059,$3.26,$3.2902,$2.94
02/06/2025,$3.26,2834159,$3.41,$3.44,$3.24
02/05/2025,$3.32,2765118,$3.15,$3.425,$3.15
02/04/2025,$3.17,2052071,$3.03,$3.20,$3.03
02/03/2025,$3.06,4478201,$3.08,$3.132,$2.91
01/31/2025,$3.22,3712723,$3.47,$3.65,$3.21
01/30/2025,$3.49,5324172,$3.27,$3.55,$3.12
01/29/2025,$3.25,4120615,$3.40,$3.57,$3.24
01/28/2025,$3.41,2901193,$3.35,$3.4999,$3.28
01/27/2025,$3.37,5507147,$3.31,$3.595,$3.16
01/24/2025,$3.38,5667046,$3.485,$3.65,$3.33
01/23/2025,$3.49,6780105,$3.41,$3.715,$3.29
01/22/2025,$3.50,14329590,$2.88,$3.655,$2.85
01/21/2025,$2.92,6816738,$3.17,$3.275,$2.90
01/17/2025,$3.16,5400918,$3.15,$3.3777,$3.14
01/16/2025,$3.25,13277840,$3.82,$3.85,$3.0513
01/15/2025,$3.86,10563520,$3.63,$3.86,$3.19
01/14/2025,$3.63,10803260,$3.43,$3.805,$3.20
01/13/2025,$3.46,12611960,$3.70,$4.01,$3.19
01/10/2025,$3.66,29628910,$5.03,$5.16,$3.55
01/08/2025,$4.30,161196100,$6.07,$7.30,$4.12
01/07/2025,$1.65,28604780,$1.75,$1.91,$1.64
01/06/2025,$1.75,1762422,$1.75,$1.84,$1.685
01/03/2025,$1.71,1836052,$1.66,$1.77,$1.66
01/02/2025,$1.65,1338886,$1.63,$1.77,$1.61
12/31/2024,$1.63,1479556,$1.61,$1.65,$1.54
12/30/2024,$1.61,1623974,$1.61,$1.635,$1.52
12/27/2024,$1.61,1814361,$1.67,$1.699,$1.55
12/26/2024,$1.70,1317287,$1.72,$1.75,$1.62
12/24/2024,$1.75,807598,$1.63,$1.77,$1.62
12/23/2024,$1.63,1801236,$1.65,$1.71,$1.56
12/20/2024,$1.65,3201863,$1.59,$1.72,$1.55
12/19/2024,$1.60,3402114,$1.70,$1.70,$1.55
12/18/2024,$1.685,2922190,$1.92,$1.935,$1.65
12/17/2024,$1.91,2828147,$1.95,$2.07,$1.80
12/16/2024,$1.96,2426991,$1.89,$2.00,$1.82
12/13/2024,$1.89,3367986,$2.00,$2.04,$1.81
12/12/2024,$2.04,3635875,$2.34,$2.34,$1.98
12/11/2024,$2.34,1501097,$2.50,$2.505,$2.22
12/10/2024,$2.48,1091317,$2.67,$2.7378,$2.46
12/09/2024,$2.65,1223182,$2.31,$2.68,$2.30
12/06/2024,$2.30,1665092,$2.35,$2.455,$2.28
12/05/2024,$2.295,1637337,$2.60,$2.61,$2.29
12/04/2024,$2.61,1745036,$2.58,$2.81,$2.55
12/03/2024,$2.57,1601277,$2.81,$2.88,$2.57
12/02/2024,$2.85,2730986,$2.79,$3.07,$2.645
11/29/2024,$2.78,1595286,$2.55,$2.83,$2.55
11/27/2024,$2.55,1237087,$2.45,$2.59,$2.4497
11/26/2024,$2.45,1222052,$2.51,$2.51,$2.41
11/25/2024,$2.48,1943127,$2.65,$2.71,$2.47
11/22/2024,$2.61,1819716,$2.39,$2.73,$2.37
11/21/2024,$2.35,1373356,$2.52,$2.60,$2.33
11/20/2024,$2.53,2062912,$2.42,$2.54,$2.33
11/19/2024,$2.36,1927205,$2.32,$2.43,$2.29
11/18/2024,$2.34,2062081,$2.42,$2.485,$2.31
11/15/2024,$2.42,2638288,$2.63,$2.65,$2.345
11/14/2024,$2.59,1713033,$2.64,$2.755,$2.55
11/13/2024,$2.66,1965112,$2.88,$3.015,$2.62
11/12/2024,$2.84,1883740,$2.87,$2.87,$2.745
11/11/2024,$2.89,1981083,$3.09,$3.09,$2.755
